course_title,Course_link,Course classification,type
"دورة هندسة الاتصالات المتكاملة
",https://my-communication.com/courses/integrated-communications-engineering-course/,دورات الاتصالات,complate
"Wireless Course (Mobile Package) END to END
",https://my-communication.com/courses/wireless-course/,دورات الاتصالات,complate
Microwave Transmission course( END to END),https://my-communication.com/courses/microwave-transmission/,دورات الاتصالات,complate
Optical Fiber Transmission course,https://my-communication.com/courses/optical-fiber/,دورات الاتصالات,complate
دورة إدارة المشاريع الاحترافية (PMP),https://my-communication.com/courses/project-management-professional-for-communication-engineers/,ادارة أعمال,complate
تطبيق Atoll لتصميم الشبكات اللاسلكية | الدليل الشامل من النظرية إلى العمل,https://my-communication.com/courses/atoll-2/,دورات الاتصالات,complate
دورة بناء شبكة حقيقية لشركة,https://my-communication.com/courses/network/,دورات الشبكات,complate
دورة +A لتكنولوجيا المعلومات,https://my-communication.com/courses/a/,دورات الشبكات,complate
Embedded AVR full Diploma,https://my-communication.com/courses/embedded-avr/,دورات البرمجة و تكنولوجيا المعلومات,complate
From Mobile To Core Course,https://my-communication.com/courses/from-mobile-to-core/,دورات الاتصالات,complate
"السيرة الذاتية لمهندس الاتصالات
",https://my-communication.com/courses/cv/,الدورات المميزة,complate
5G Course from A to Z,https://my-communication.com/courses/5g-a-to-z/,دورات الاتصالات,complate
دورة اتصالات الأقمار الصناعية,https://my-communication.com/courses/satellite/,دورات الاتصالات,complate
Wireless | دورة مخصصة لنقابة المهندسين الأردنيين,https://my-communication.com/courses/wireless/,دورات الاتصالات,complate
Advanced Course in Computer Networks,https://my-communication.com/courses/ccna-course/,دورات الشبكات,complate
Cloud Computing Course,https://my-communication.com/courses/cloud-computing/,دورات البرمجة و تكنولوجيا المعلومات,complate
Pathloss Course,https://my-communication.com/courses/pathloss/,دورات الاتصالات,complate
"Indoor building solution (IBS) levels 1,2,3",https://my-communication.com/courses/in-building-solution/,دورات الاتصالات,complate
Core Network Course,https://my-communication.com/courses/core-network/,دورات الاتصالات,complate
Mobile Network Training for Field Engineer,https://my-communication.com/courses/mobile-network-training-for-field-engineer/,دورات الاتصالات,complate
"5G Core | Architecture, Protocols, and Deployment",https://my-communication.com/courses/5g-core/,دورات الشبكات,complate
دورة خاصة بنقابة المهندسين المصريين,https://my-communication.com/courses/course-for-the-egyptian-engineers-syndicate/,دورات الاتصالات,complate
دورة الذكاء الاصطناعي المصغرة | AI mini course,https://my-communication.com/courses/ai-mini-course/,دورات ذكاء اصطناعي,mini
Data Analysis with Python,https://my-communication.com/courses/data-analysis-with-python/,دورات تحليل البيانات,mini
Server Basics Simplified,https://my-communication.com/courses/server/,دورات البرمجة و تكنولوجيا المعلومات,mini
A Beginner’s Guide to Fiber Optics,https://my-communication.com/courses/%d8%af%d9%88%d8%b1%d8%a9-%d8%a7%d9%84%d8%a3%d9%84%d9%8a%d8%a7%d9%81-%d8%a7%d9%84%d8%a8%d8%b5%d8%b1%d9%8a%d8%a9-%d8%a7%d9%84%d9%85%d8%b5%d8%ba%d8%b1%d8%a9/,دورات الاتصالات,mini
Python: Master the Essentials,https://my-communication.com/courses/%d8%af%d9%88%d8%b1%d8%a9-%d9%84%d8%ba%d8%a9-%d8%a7%d9%84%d8%a8%d8%a7%d9%8a%d8%ab%d9%88%d9%86-%d8%a7%d9%84%d9%85%d8%b5%d8%ba%d8%b1%d8%a9/,دورات البرمجة و تكنولوجيا المعلومات,mini
"GPS Global Positioning System mini course
",https://my-communication.com/courses/gps/,دورات الاتصالات,mini
HTML Course,https://my-communication.com/courses/html-course/,دورات البرمجة و تكنولوجيا المعلومات,mini
Power Bi,https://my-communication.com/courses/power-pi/,دورات تحليل البيانات,mini
تطبيقات Css + Html,https://my-communication.com/courses/%d8%aa%d8%b7%d8%a8%d9%8a%d9%82%d8%a7%d8%aa-css-html/,دورات البرمجة و تكنولوجيا المعلومات,mini
CSS,https://my-communication.com/courses/css/,دورات البرمجة و تكنولوجيا المعلومات,mini
